model,target_bitrate,resolution,duration,bitrate,reference_resolution,reference_duration,reference_birate,vmaf
vmaf_4k_v0.6.1.json,500,720,634,494,2160,634,20004,62.477523
vmaf_4k_v0.6.1.json,1000,1080,634,989,2160,634,20004,75.190991
vmaf_4k_v0.6.1.json,2500,1440,634,2508,2160,634,20004,87.896831
vmaf_4k_v0.6.1.json,5000,2160,634,4960,2160,634,20004,93.925376
vmaf_4k_v0.6.1.json,7500,2160,634,7466,2160,634,20004,96.570844
vmaf_4k_v0.6.1.json,10000,2160,634,9976,2160,634,20004,97.790523
vmaf_4k_v0.6.1.json,20000,2160,634,20004,2160,634,20004,100.0
vmaf_v0.6.1.json,500,720,634,494,1080,634,20089,69.654153
vmaf_v0.6.1.json,1000,720,634,989,1080,634,20089,82.672646
vmaf_v0.6.1.json,2500,1080,634,2484,1080,634,20089,93.412436
vmaf_v0.6.1.json,5000,1080,634,4982,1080,634,20089,96.578481
vmaf_v0.6.1.json,7500,1080,634,7490,1080,634,20089,97.444711
vmaf_v0.6.1.json,10000,1080,634,10013,1080,634,20089,97.828828
vmaf_v0.6.1.json,20000,1080,634,20089,1080,634,20089,98.838255
vmaf_v0.6.1.json_phone,500,720,634,494,1080,634,20089,87.093952
vmaf_v0.6.1.json_phone,1000,720,634,989,1080,634,20089,95.936829
vmaf_v0.6.1.json_phone,2500,1080,634,2484,1080,634,20089,99.836164
vmaf_v0.6.1.json_phone,5000,1080,634,4982,1080,634,20089,99.996809
vmaf_v0.6.1.json_phone,7500,1080,634,7490,1080,634,20089,99.999772
vmaf_v0.6.1.json_phone,10000,1080,634,10013,1080,634,20089,99.999996
vmaf_v0.6.1.json_phone,20000,1080,634,20089,1080,634,20089,100.0
